template_id,template_title,device_type,section_id,section_title,field_id,label,input_type,required,display_order
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_panel_location,Panel location,text,False,4
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_total_zones_loops,Total zones / loops,text,False,5
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_zones_currently_used,Zones currently used,text,False,6
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_spare_zones_available,Spare zones available,text,False,7
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_battery_quantity_and_rating,Battery quantity and rating,text,False,8
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_charger_rating,Charger rating,text,False,9
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_last_service_date,Last service date,text,False,10
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,a_panel_information,A. Panel Information,fire_alarm_control_panel_last_alarm_fault_history_if_available,Last alarm / fault history if available,text,False,11
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_inform_facilities_manager_client_representative_before_testing,Inform Facilities Manager / client representative before testing.,text,False,12
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_confirm_testing_time_and_affected_areas,Confirm testing time and affected areas.,text,False,13
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_set_panel_to_silence_alarm_test_mode_before_checking_devices,Set panel to silence / alarm test mode before checking devices.,text,False,14
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,b_safety_preparation_before_testing,B. Safety Preparation Before Testing,fire_alarm_control_panel_switch_off_isolate_all_tripping_outputs_before_testing,Switch off / isolate all tripping outputs before testing.,text,False,15
